Gene	start	end	description	database_name
YIL155C	52310	52346	Name=FAD-dependent glycerol-3-phosphate dehydrogenase family signature	PR01001
YIL155C	52445	52463	Name=FAD-dependent glycerol-3-phosphate dehydrogenase family signature	PR01001
YIL155C	53225	53261	Name=FAD-dependent glycerol-3-phosphate dehydrogenase family signature	PR01001
YIL155C	53381	53417	Name=FAD-dependent glycerol-3-phosphate dehydrogenase family signature	PR01001
YIL155C	53435	53465	Name=FAD-dependent glycerol-3-phosphate dehydrogenase family signature	PR01001
YIL155C	53468	53504	Name=FAD-dependent glycerol-3-phosphate dehydrogenase family signature	PR01001
YIL148W	68741	68801	Name=Ubiquitin signature	PR00348
YIL148W	68804	68864	Name=Ubiquitin signature	PR00348
YIL148W	68867	68930	Name=Ubiquitin signature	PR00348
YIL147C	70678	70717	Name=Bacterial sensor protein C-terminal signature	PR00344
YIL147C	70735	70789	Name=Bacterial sensor protein C-terminal signature	PR00344
YIL147C	70810	70840	Name=Bacterial sensor protein C-terminal signature	PR00344
YIL147C	70852	70894	Name=Bacterial sensor protein C-terminal signature	PR00344
YIL143C	80587	80644	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	80875	80944	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	80959	81034	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81037	81091	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81166	81232	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81244	81289	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81334	81400	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81538	81598	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81853	81919	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	81934	82012	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	82333	82390	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL143C	82588	82648	Name=Xeroderma pigmentosum group B protein signature	PR00851
YIL142W	83395	83443	Name=Tailless complex polypeptide 1 (chaperone) signature	PR00304
YIL142W	83464	83518	Name=Tailless complex polypeptide 1 (chaperone) signature	PR00304
YIL142W	83554	83611	Name=Tailless complex polypeptide 1 (chaperone) signature	PR00304
YIL142W	84400	84466	Name=Tailless complex polypeptide 1 (chaperone) signature	PR00304
YIL142W	84502	84538	Name=Tailless complex polypeptide 1 (chaperone) signature	PR00304
YIL137C	91714	91750	Name=Membrane alanyl dipeptidase (M1) family signature	PR00756
YIL137C	91762	91807	Name=Membrane alanyl dipeptidase (M1) family signature	PR00756
YIL137C	91888	91918	Name=Membrane alanyl dipeptidase (M1) family signature	PR00756
YIL137C	92116	92161	Name=Membrane alanyl dipeptidase (M1) family signature	PR00756
YIL137C	92263	92308	Name=Membrane alanyl dipeptidase (M1) family signature	PR00756
YIL134W	97461	97515	Name=Mitochondrial carrier protein signature	PR00926
YIL134W	97617	97671	Name=Mitochondrial carrier protein signature	PR00926
YIL134W	97791	97857	Name=Mitochondrial carrier protein signature	PR00926
YIL131C	101143	101194	Name=Fork head domain signature	PR00053
YIL131C	101212	101263	Name=Fork head domain signature	PR00053
YIL131C	101287	101326	Name=Fork head domain signature	PR00053
YIL126W	121853	121901	Name=Bromodomain signature	PR00503
YIL126W	121901	121955	Name=Bromodomain signature	PR00503
YIL126W	121955	122012	Name=Bromodomain signature	PR00503
YIL124W	126237	126288	Name=Glucose/ribitol dehydrogenase family signature	PR00081
YIL124W	126459	126492	Name=Glucose/ribitol dehydrogenase family signature	PR00081
YIL124W	126597	126645	Name=Glucose/ribitol dehydrogenase family signature	PR00081
YIL124W	126615	126639	Name=Short-chain dehydrogenase/reductase (SDR) superfamily signature	PR00080
YIL124W	126675	126732	Name=Glucose/ribitol dehydrogenase family signature	PR00081
YIL124W	126738	126789	Name=Glucose/ribitol dehydrogenase family signature	PR00081
