Gene	start	end	description	database_name
YGL253W	24184	24232	Name=Hexokinase family signature	PR00475
YGL253W	24394	24469	Name=Hexokinase family signature	PR00475
YGL253W	24550	24598	Name=Hexokinase family signature	PR00475
YGL253W	24619	24661	Name=Hexokinase family signature	PR00475
YGL253W	24832	24898	Name=Hexokinase family signature	PR00475
YGL253W	25078	25144	Name=Hexokinase family signature	PR00475
YGL253W	25297	25345	Name=Hexokinase family signature	PR00475
YGL248W	36025	36079	Name=3'5'-cyclic nucleotide class II phosphodiesterase signature	PR00388
YGL248W	36124	36187	Name=3'5'-cyclic nucleotide class II phosphodiesterase signature	PR00388
YGL248W	36469	36502	Name=3'5'-cyclic nucleotide class II phosphodiesterase signature	PR00388
YGL248W	36526	36565	Name=3'5'-cyclic nucleotide class II phosphodiesterase signature	PR00388
YGL248W	36604	36637	Name=3'5'-cyclic nucleotide class II phosphodiesterase signature	PR00388
YGL245W	39638	39674	Name=Glutamyl-tRNA synthetase signature	PR00987
YGL245W	39680	39713	Name=Glutamyl-tRNA synthetase signature	PR00987
YGL245W	39725	39764	Name=Glutamyl-tRNA synthetase signature	PR00987
YGL245W	40163	40193	Name=Glutamyl-tRNA synthetase signature	PR00987
YGL245W	40211	40235	Name=Glutamyl-tRNA synthetase signature	PR00987
YGL237C	52886	52955	Name=CCAAT-binding transcription factor subunit B signature	PR00616
YGL237C	52982	53048	Name=CCAAT-binding transcription factor subunit B signature	PR00616
YGL216W	85434	85497	Name=Kinesin heavy chain signature	PR00380
YGL216W	85788	85839	Name=Kinesin heavy chain signature	PR00380
YGL216W	85890	85944	Name=Kinesin heavy chain signature	PR00380
YGL216W	86049	86112	Name=Kinesin heavy chain signature	PR00380
YGL210W	93834	93897	Name=Transforming protein P21 ras signature	PR00449
YGL210W	93903	93951	Name=Transforming protein P21 ras signature	PR00449
YGL210W	93957	94023	Name=Transforming protein P21 ras signature	PR00449
YGL210W	94143	94182	Name=Transforming protein P21 ras signature	PR00449
YGL210W	94248	94314	Name=Transforming protein P21 ras signature	PR00449
YGL203C	113245	113284	Name=Carboxypeptidase C serine protease (S10) family signature	PR00724
YGL203C	114049	114124	Name=Carboxypeptidase C serine protease (S10) family signature	PR00724
YGL203C	114220	114250	Name=Carboxypeptidase C serine protease (S10) family signature	PR00724
YGL203C	114253	114289	Name=Carboxypeptidase C serine protease (S10) family signature	PR00724
YGL201C	118768	118792	Name=Mini-chromosome maintenance (MCM) protein family signature	PR01657
YGL201C	118837	118873	Name=Mini-chromosome maintenance (MCM) protein family signature	PR01657
YGL201C	118906	118945	Name=Mini-chromosome maintenance (MCM) protein family signature	PR01657
YGL201C	118987	119029	Name=Mini-chromosome maintenance (MCM) protein family signature	PR01657
YGL201C	119164	119209	Name=Mini-chromosome maintenance (MCM) protein family signature	PR01657
YGL201C	119536	119599	Name=Mini-chromosome maintenance (MCM) protein 6 signature	PR01662
YGL201C	119746	119779	Name=Mini-chromosome maintenance (MCM) protein 6 signature	PR01662
YGL201C	119887	119938	Name=Mini-chromosome maintenance (MCM) protein 6 signature	PR01662
YGL201C	120052	120088	Name=Mini-chromosome maintenance (MCM) protein 6 signature	PR01662
YGL201C	120349	120385	Name=Mini-chromosome maintenance (MCM) protein 6 signature	PR01662
YGL194C	140877	140907	Name=Histone deacetylase superfamily signature	PR01270
YGL194C	140919	140973	Name=Histone deacetylase signature	PR01271
YGL194C	140985	141024	Name=Histone deacetylase signature	PR01271
YGL194C	141120	141165	Name=Histone deacetylase superfamily signature	PR01270
YGL194C	141156	141204	Name=Histone deacetylase signature	PR01271
YGL194C	141192	141261	Name=Histone deacetylase superfamily signature	PR01270
YGL194C	141267	141327	Name=Histone deacetylase signature	PR01271
YGL194C	141339	141390	Name=Histone deacetylase signature	PR01271
YGL194C	141432	141486	Name=Histone deacetylase signature	PR01271
YGL194C	141534	141585	Name=Histone deacetylase signature	PR01271
YGL190C	145820	145907	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146261	146339	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146342	146417	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146420	146501	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146504	146585	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146588	146672	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146675	146756	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	146759	146840	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	147035	147119	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	147122	147206	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL190C	147233	147293	Name=Protein phosphatase PP2A 55kDa regulatory subunit signature	PR00600
YGL181W	157987	158044	Name=HIV Rev interacting protein signature	PR00405
YGL181W	158044	158095	Name=HIV Rev interacting protein signature	PR00405
YGL181W	158122	158185	Name=HIV Rev interacting protein signature	PR00405
YGL167C	188263	188338	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL167C	188326	188362	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL167C	188377	188434	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL167C	188386	188434	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL167C	188470	188518	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL167C	188650	188680	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL167C	188713	188746	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL167C	188815	188869	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL167C	189319	189361	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL167C	189832	189874	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL166W	191132	191168	Name=Copper fist domain signature	PR00617
YGL166W	191171	191207	Name=Copper fist domain signature	PR00617
YGL166W	191210	191246	Name=Copper fist domain signature	PR00617
YGL140C	242165	242213	Name=Brefeldin A-sensitivity protein 4 signature	PR02047
YGL140C	242765	242807	Name=Brefeldin A-sensitivity protein 4 signature	PR02047
YGL140C	242912	242954	Name=Brefeldin A-sensitivity protein 4 signature	PR02047
YGL140C	244760	244817	Name=Brefeldin A-sensitivity protein 4 signature	PR02047
YGL140C	244856	244922	Name=Brefeldin A-sensitivity protein 4 signature	PR02047
YGL137W	250205	250247	Name=G protein beta WD-40 repeat signature	PR00320
YGL137W	250472	250514	Name=G protein beta WD-40 repeat signature	PR00320
YGL137W	250598	250640	Name=G protein beta WD-40 repeat signature	PR00320
YGL124C	274782	274842	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	274842	274881	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	274890	274932	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275322	275400	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275433	275502	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275535	275583	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275619	275658	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275688	275751	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275811	275847	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275850	275934	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	275961	276003	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	276054	276114	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL124C	276117	276168	Name=Saccharomyces cerevisiae 73.5kDa hypothetical protein signature	PR01546
YGL104C	308922	308985	Name=Sugar transporter signature	PR00171
YGL104C	309201	309231	Name=Sugar transporter signature	PR00171
YGL104C	309678	309735	Name=Sugar transporter signature	PR00171
YGL104C	310026	310056	Name=Sugar transporter signature	PR00171
YGL097W	321923	321971	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	322040	322079	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	322097	322145	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	322334	322382	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	322460	322508	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	322508	322550	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	322796	322850	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL097W	323006	323069	Name=Chromosome condensation regulator RCC1 signature	PR00633
YGL073W	369278	369347	Name=Heat shock factor (HSF) domain signature	PR00056
YGL073W	369392	369428	Name=Heat shock factor (HSF) domain signature	PR00056
YGL073W	369431	369467	Name=Heat shock factor (HSF) domain signature	PR00056
YGL055W	398967	399027	Name=Fatty acid desaturase family 1 signature	PR00075
YGL055W	399042	399108	Name=Fatty acid desaturase family 1 signature	PR00075
YGL055W	399111	399171	Name=Fatty acid desaturase family 1 signature	PR00075
YGL055W	399222	399309	Name=Fatty acid desaturase family 1 signature	PR00075
YGL055W	399396	399450	Name=Fatty acid desaturase family 1 signature	PR00075
YGL055W	399492	399555	Name=Fatty acid desaturase family 1 signature	PR00075
YGL055W	399621	399663	Name=Fatty acid desaturase family 1 signature	PR00075
YGL040C	419562	419619	Name=Delta-aminolevulinic acid dehydratase signature	PR00144
YGL040C	419664	419709	Name=Delta-aminolevulinic acid dehydratase signature	PR00144
YGL040C	419739	419787	Name=Delta-aminolevulinic acid dehydratase signature	PR00144
YGL040C	419886	419943	Name=Delta-aminolevulinic acid dehydratase signature	PR00144
YGL040C	420003	420060	Name=Delta-aminolevulinic acid dehydratase signature	PR00144
YGL040C	420111	420153	Name=Delta-aminolevulinic acid dehydratase signature	PR00144
YGL019W	458231	458279	Name=Casein kinase II regulatory subunit family signature	PR00472
YGL019W	458282	458324	Name=Casein kinase II regulatory subunit family signature	PR00472
YGL019W	458537	458600	Name=Casein kinase II regulatory subunit family signature	PR00472
YGL019W	458612	458675	Name=Casein kinase II regulatory subunit family signature	PR00472
YGL019W	458678	458741	Name=Casein kinase II regulatory subunit family signature	PR00472
YGL019W	458762	458813	Name=Casein kinase II regulatory subunit family signature	PR00472
YGL009C	477374	477413	Name=Aconitase family signature	PR00415
YGL009C	477551	477584	Name=Aconitase family signature	PR00415
YGL009C	477713	477755	Name=Aconitase family signature	PR00415
YGL009C	477947	477986	Name=Aconitase family signature	PR00415
YGL009C	477989	478028	Name=Aconitase family signature	PR00415
YGL009C	478169	478214	Name=Aconitase family signature	PR00415
YGL009C	478217	478256	Name=Aconitase family signature	PR00415
YGL009C	478265	478289	Name=Aconitase family signature	PR00415
YGL009C	478328	478367	Name=Aconitase family signature	PR00415
YGL008C	480215	480278	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL008C	480602	480677	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL008C	480665	480701	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL008C	480713	480770	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL008C	480722	480770	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL008C	480806	480854	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL008C	480986	481016	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL008C	481049	481082	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL008C	481118	481172	Name=H+-transporting ATPase (proton pump) signature	PR00120
YGL008C	481496	481538	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL008C	481946	481988	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL006W	486635	486677	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL006W	487250	487292	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL006W	488117	488150	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL006W	488183	488213	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL006W	488438	488495	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGL006W	488510	488546	Name=P-type cation-transporting ATPase superfamily signature	PR00119
YGR037C	559751	559802	Name=Acyl-coA-binding protein signature	PR00689
YGR037C	559820	559865	Name=Acyl-coA-binding protein signature	PR00689
YGR037C	559880	559934	Name=Acyl-coA-binding protein signature	PR00689
YGR037C	559940	559985	Name=Acyl-coA-binding protein signature	PR00689
YGR056W	601793	601841	Name=Bromodomain signature	PR00503
YGR056W	602525	602579	Name=Bromodomain signature	PR00503
YGR056W	602579	602636	Name=Bromodomain signature	PR00503
YGR082W	644116	644179	Name=MAS20 (TOM20) import receptor subunit signature	PR00351
YGR082W	644287	644353	Name=MAS20 (TOM20) import receptor subunit signature	PR00351
YGR082W	644401	644461	Name=MAS20 (TOM20) import receptor subunit signature	PR00351
YGR088W	654724	654793	Name=Catalase signature	PR00067
YGR088W	654913	654967	Name=Catalase signature	PR00067
YGR088W	654976	655027	Name=Catalase signature	PR00067
YGR088W	655033	655087	Name=Catalase signature	PR00067
YGR088W	655537	655618	Name=Catalase signature	PR00067
YGR088W	655636	655714	Name=Catalase signature	PR00067
YGR094W	672735	672768	Name=Valyl-tRNA synthetase signature	PR00986
YGR094W	673368	673419	Name=Valyl-tRNA synthetase signature	PR00986
YGR094W	673719	673758	Name=Valyl-tRNA synthetase signature	PR00986
YGR094W	674058	674121	Name=Valyl-tRNA synthetase signature	PR00986
YGR094W	674151	674205	Name=Valyl-tRNA synthetase signature	PR00986
YGR096W	676678	676717	Name=Mitochondrial carrier protein signature	PR00926
YGR096W	676717	676759	Name=Mitochondrial carrier protein signature	PR00926
