Gene	start	end	description	database_name	transposons	transposons_normalized
YFL066C	1583	2603	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	12620	12.373
YOL165C	1727	2072	Name=NAD(P)-linked oxidoreductase	SSF51430	11550	33.478
YPL283C	2386	3415	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	20490	19.913
YEL077C	2393	3425	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	21045	20.392
YNL339C	2477	3506	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	24064	23.386
YML133C	2521	3550	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	27005	26.244
YLL067C	2645	3674	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	30753	29.886
YBL112C	2725	2893	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	29436	175.214
YHL050C	2831	3296	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	27149	58.385
YBL111C	3050	3875	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	34758	42.131
YJL225C	3088	4120	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	51199	49.611
YIL177C	3105	4137	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	51424	49.829
YKL222C	5449	5578	Name=Zn2/Cys6 DNA-binding domain	SSF57701	4556	35.318
YPL283C	5647	5899	Name=ORC1-binding domain	SSF144005	11856	47.048
YNL339C	5738	5990	Name=ORC1-binding domain	SSF144005	8512	33.778
YKL221W	6179	7391	Name=MFS general substrate transporter	SSF103473	42995	35.474
YOL164W	6229	7720	Name=Metallo-hydrolase/oxidoreductase	SSF56281	46770	31.368
YDL247W	6291	7656	Name=MFS general substrate transporter	SSF103473	43359	31.765
YCL073C	6634	8134	Name=MFS general substrate transporter	SSF103473	30767	20.511
YAL067C	7345	8638	Name=MFS general substrate transporter	SSF103473	21104	16.322
YOL164W	7747	8098	Name=SCP-like	SSF55718	14017	39.934
YLL066C	8180	9209	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540	15836	15.39
YGL259W	8497	8848	Name=Acid proteases	SSF50630	10198	29.054
YHL047C	8683	9994	Name=MFS general substrate transporter	SSF103473	23684	18.066
YDL246C	8799	9324	Name=NAD(P)-binding Rossmann-fold domains	SSF51735	21499	40.95
YKL220C	9153	9660	Name=Ferredoxin reductase-like, C-terminal NADP-linked domain	SSF52343	16340	32.229
YGL258W-A	9177	9390	Name=Acid proteases	SSF50630	16053	75.366
YDL246C	9219	9735	Name=GroES-like	SSF50129	15021	29.11
YPL281C	9574	10435	Name=Enolase C-terminal domain-like	SSF51604	14963	17.379
YOL163W	9600	9969	Name=MFS general substrate transporter	SSF103473	14677	39.775
YKL220C	9636	9909	Name=Riboflavin synthase domain-like	SSF63380	14106	51.67
YFL061W	9647	10109	Name=HD-domain/PDEase-like	SSF109604	13976	30.251
YCL069W	9715	10276	Name=MFS general substrate transporter	SSF103473	12618	22.492
YCL069W	10108	11023	Name=MFS general substrate transporter	SSF103473	21578	23.583
YOL162W	10128	10695	Name=MFS general substrate transporter	SSF103473	21124	37.256
YML131W	10201	10588	Name=GroES-like	SSF50129	20023	51.739
YFL060C	10324	10960	Name=Class I glutamine amidotransferase-like	SSF52317	18474	29.047
YPL281C	10459	10861	Name=Enolase N-terminal domain-like	SSF54826	16138	40.144
