Gene	start	end	description	database_name	transposons	transposons_normalized
YLL067C	2666	2906	Name=helicmild6	SM00490	260	1.083
YLL067C	3086	3725	Name=ultradead3	SM00487	1807	2.828
YLL066C	8201	8441	Name=helicmild6	SM00490	274	1.142
YLL066C	8621	9260	Name=ultradead3	SM00487	1838	2.876
YLL054C	35045	35177	Name=gal4_2	SM00066	25	0.189
YLL050C	40003	40384	Name=adf_2	SM00102	1	0.003
YLL048C	41426	42044	Name=AAA_5	SM00382	379	0.613
YLL048C	43535	44102	Name=AAA_5	SM00382	449	0.792
YLL046C	46782	47040	Name=rrm1_1	SM00360	230	0.891
YLL046C	47133	47355	Name=rrm1_1	SM00360	42	0.189
YLL039C	64079	64292	Name=ubq_7	SM00213	274	1.286
YLL039C	64307	64520	Name=ubq_7	SM00213	94	0.441
YLL039C	64535	64748	Name=ubq_7	SM00213	43	0.202
YLL039C	64763	64976	Name=ubq_7	SM00213	22	0.103
YLL039C	64991	65204	Name=ubq_7	SM00213	6	0.028
YLL038C	66080	66479	Name=enth_2	SM00273	2264	5.674
YLL036C	68064	68253	Name=Ubox_2	SM00504	3	0.016
YLL034C	71040	71448	Name=AAA_5	SM00382	1	0.002
YLL034C	72009	72432	Name=AAA_5	SM00382	2	0.005
YLL032C	75064	75304	Name=kh_6	SM00322	20	0.083
YLL026W	89235	89658	Name=AAA_5	SM00382	394	0.931
YLL026W	90441	90954	Name=AAA_5	SM00382	1024	1.996
YLL026W	90948	91221	Name=ClpB_D2_small_2	SM01086	621	2.275
YLL021W	101079	101169	Name=spa2_6	SM00555	35	0.389
YLL021W	101229	101319	Name=spa2_6	SM00555	53	0.589
YLL021W	101823	101910	Name=spa2_6	SM00555	42	0.483
YLL021W	101955	102045	Name=spa2_6	SM00555	19	0.211
YLL019C	105739	106960	Name=serkin_6	SM00220	1065	0.872
YLL015W	118424	118994	Name=AAA_5	SM00382	280	0.491
YLL015W	120416	121022	Name=AAA_5	SM00382	369	0.609
YLL013C	122182	122287	Name=pum_5	SM00025	110	1.048
YLL013C	122329	122434	Name=pum_5	SM00025	87	0.829
YLL013C	122458	122560	Name=pum_5	SM00025	112	1.098
YLL013C	122563	122668	Name=pum_5	SM00025	207	1.971
YLL013C	122671	122776	Name=pum_5	SM00025	48	0.457
YLL013C	122779	122884	Name=pum_5	SM00025	24	0.229
YLL013C	122887	122992	Name=pum_5	SM00025	39	0.371
YLL013C	122995	123100	Name=pum_5	SM00025	66	0.629
YLL011W	127688	127811	Name=WD40_4	SM00320	7	0.057
YLL011W	127820	127970	Name=WD40_4	SM00320	3	0.02
YLL011W	128030	128138	Name=WD40_4	SM00320	0	0
YLL011W	128147	128267	Name=WD40_4	SM00320	3	0.025
YLL011W	128276	128393	Name=WD40_4	SM00320	13	0.111
YLL011W	128405	128522	Name=WD40_4	SM00320	2	0.017
YLL011W	128528	128651	Name=WD40_4	SM00320	2	0.016
YLL010C	129416	129845	Name=forpap2	SM00577	1391	3.242
YLL008W	132479	133085	Name=ultradead3	SM00487	4	0.007
YLL008W	133208	133451	Name=helicmild6	SM00490	6	0.025
YLL002W	146300	147320	Name=KAT11_2	SM01250	375	0.368
YLL001W	147902	148745	Name=dynamin_3	SM00053	1608	1.907
YLL001W	149885	150158	Name=GED_2	SM00302	127	0.465
YLR005W	160418	160934	Name=VWA_4	SM00327	10	0.019
YLR005W	161255	161417	Name=C1_4_2	SM01047	95	0.586
YLR006C	161964	162381	Name=REC_2	SM00448	1651	3.959
YLR008C	165585	165750	Name=dnaj_3	SM00271	1	0.006
YLR009W	166555	166669	Name=4TRASH	SM00746	2	0.018
YLR013W	171537	171705	Name=GATA_3	SM00401	87	0.518
YLR014C	173383	173602	Name=Fungal_trans_2	SM00906	351	1.603
YLR014C	174766	174898	Name=gal4_2	SM00066	233	1.765
YLR015W	175617	176406	Name=SPRY_3	SM00449	24	0.03
YLR016C	176900	177107	Name=FHA_2	SM00240	355	1.715
YLR019W	180966	181395	Name=forpap2	SM00577	1463	3.41
YLR024C	192768	192993	Name=push_1	SM00396	164	0.729
YLR026C	195539	195740	Name=tSNARE_6	SM00397	3	0.015
YLR028C	199932	200907	Name=aicarft_impchas	SM00798	1127	1.156
YLR028C	200922	201264	Name=MGS_2a	SM00851	281	0.822
YLR029C	202014	202584	Name=Ribosomal_L15e_2	SM01384	39	0.068
YLR032W	205519	205852	Name=HIRAN_2	SM00910	68	0.204
YLR032W	206290	207217	Name=ultradead3	SM00487	148	0.16
YLR032W	207733	207871	Name=ring_2	SM00184	5	0.036
