Gene	start	end	description	database_name
YJL225C	3058	3613	Name=P-loop containing nucleoside triphosphate hydrolase	G3DSA:3.40.50.300
YJL222W	11586	12207	Name=WD40/YVTN repeat-like-containing domain superfamily	G3DSA:2.130.10.10
YJL222W	12357	13140	Name=-	G3DSA:2.120.10.10
YJL222W	13194	13344	Name=-	G3DSA:2.10.70.80
YJL222W	13350	13557	Name=-	G3DSA:3.30.60.270
YJL222W	14733	15075	Name=WD40/YVTN repeat-like-containing domain superfamily	G3DSA:2.130.10.10
YJL222W	15318	15564	Name=-	G3DSA:3.30.60.270
YJL221C	16769	16997	Name=Glycosyl hydrolase, all-beta	G3DSA:2.60.40.1180
YJL221C	17000	17972	Name=Glycosidases	G3DSA:3.20.20.80
YJL221C	17975	18179	Name=Oligo-1,6-glucosidase, domain 2	G3DSA:3.90.400.10
YJL221C	18182	18530	Name=Glycosidases	G3DSA:3.20.20.80
YJL219W	19662	21081	Name=MFS general substrate transporter like domains	G3DSA:1.20.1250.20
YJL218W	21982	22555	Name=Hexapeptide repeat proteins	G3DSA:2.160.10.10
YJL217W	23154	23727	Name=-	G3DSA:2.60.120.200
YJL216C	24346	24565	Name=Glycosyl hydrolase, all-beta	G3DSA:2.60.40.1180
YJL216C	24595	26062	Name=Glycosidases	G3DSA:3.20.20.80
YJL216C	25534	25759	Name=Oligo-1,6-glucosidase, domain 2	G3DSA:3.90.400.10
YJL214W	27067	28483	Name=MFS general substrate transporter like domains	G3DSA:1.20.1250.20
YJL213W	32172	33021	Name=-	G3DSA:3.20.20.140
YJL213W	33024	33153	Name=Urease, subunit C, domain 1	G3DSA:2.30.40.10
YJL208C	40253	41060	Name=Extracellular Endonuclease, subunit A	G3DSA:3.40.570.10
YJL206C	49632	49818	Name=Zn(2)-C6 fungal-type DNA-binding domain superfamily	G3DSA:4.10.240.10
YJL203W	53344	53518	Name=Surp module	G3DSA:1.10.10.790
YJL203W	53599	53794	Name=Surp module	G3DSA:1.10.10.790
YJL203W	53797	53926	Name=-	G3DSA:6.10.250.1320
YJL201W	54388	54889	Name=CRAL-TRIO lipid binding domain superfamily	G3DSA:3.40.525.10
YJL201W	54895	55426	Name=Rho GTPase activation protein	G3DSA:1.10.555.10
YJL200C	56452	57118	Name=Aconitase, domain 4	G3DSA:3.20.19.10
YJL200C	57259	57775	Name=Aconitase, domain 3	G3DSA:3.30.499.10
YJL200C	57778	58135	Name=Aconitase, Domain 2	G3DSA:3.40.1060.10
YJL200C	58138	58744	Name=Aconitase, domain 3	G3DSA:3.30.499.10
YJL197W	64081	64432	Name=DUSP-like superfamily	G3DSA:3.30.2230.10
YJL197W	64861	65554	Name=Cysteine proteinases	G3DSA:3.90.70.10
YJL197W	66271	67150	Name=Cysteine proteinases	G3DSA:3.90.70.10
YJL194W	69512	70169	Name=P-loop containing nucleoside triphosphate hydrolase	G3DSA:3.40.50.300
YJL194W	70172	70433	Name=-	G3DSA:1.10.8.60
YJL194W	70547	70838	Name=Winged helix-like DNA-binding domain superfamily	G3DSA:1.10.10.10
YJL191W	73793	74201	Name=Ribosomal protein S11	G3DSA:3.30.420.80
YJL190C	74912	75092	Name=-	G3DSA:3.30.1490.10
YJL190C	75095	75299	Name=-	G3DSA:3.30.1370.30
YJL189W	75936	76086	Name=Ribosomal protein L39e	G3DSA:1.10.1620.10
YJL187C	76856	77690	Name=Transferase(Phosphotransferase) domain 1	G3DSA:1.10.510.10
YJL187C	77693	78035	Name=Phosphorylase Kinase; domain 1	G3DSA:3.30.200.20
YJL186W	80614	81295	Name=Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	G3DSA:3.90.550.10
YJL183W	84530	84947	Name=Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A	G3DSA:3.90.550.10
YJL180C	87588	88215	Name=ATP12 ATPase	G3DSA:1.10.3580.10
