Gene	start	end	description	database_name
YEL077C	266	3830	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YBL113C	282	1866	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YPL283C	430	3823	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YNL339C	521	3914	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YML133C	562	3859	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YLL067C	695	3992	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YJL225C	856	4525	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YIL177C	873	4542	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YHL050C	1220	2660	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YFL066C	1655	2606	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YOL165C	1688	2075	Name=ARYL-ALCOHOL DEHYDROGENASE AAD10-RELATED	PTHR43364:SF2
YAL068C	1812	2166	Name=SERIPAUPERIN	PTHR31002
YKL224C	1815	2178	Name=SERIPAUPERIN	PTHR31002
YBL113C	1884	2604	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YHL050C	2651	3302	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YFL065C	3047	3191	Name=-	PTHR31583
YFL065C	3239	3335	Name=-	PTHR31583
YFL064C	3324	3843	Name=-	PTHR31583
YKL222C	3529	5617	Name=TRANSCRIPTION FACTOR PDR8-RELATED	PTHR31405
YHL049C	3740	3887	Name=-	PTHR31583
YHL049C	3935	4538	Name=-	PTHR31583
YBL111C	4214	4355	Name=-	PTHR31583
YBL111C	4403	5006	Name=-	PTHR31583
YEL076C	4466	5111	Name=-	PTHR31583
YEL076C-A	4466	5111	Name=-	PTHR31583
YEL075C	5398	5710	Name=-	PTHR31583
YDL247W	6156	7773	Name=ALPHA-GLUCOSIDES PERMEASE MPH2-RELATED	PTHR48022:SF5
YKL221W	6200	7502	Name=MONOCARBOXYLATE TRANSPORTER	PTHR11360
YLL066C	6221	9527	Name=HELICASE WITH DEATH DOMAIN-RELATED	PTHR14074
YOL164W	6223	8101	Name=ALKYL/ARYL-SULFATASE	PTHR43223
YGL261C	6295	6649	Name=SERIPAUPERIN	PTHR31002
YCL073C	6547	8308	Name=GLUTATHIONE EXCHANGER 1-RELATED	PTHR23501:SF92
YAL067C	7264	8785	Name=PERMEASE-RELATED	PTHR43791
YBL108C-A	7610	7730	Name=SERIPAUPERIN	PTHR31002
