Gene	start	end	description	database_name	transposons	transposons_normalized
YAL068C	1863	1881	Name=Stress-induced proteins SRP1/TIP1 family signature.	PS00724	0	0
YAL064C-A	13413	13740	Name=PA14 domain profile.	PS51820	828	2.532
YAL063C	27221	27746	Name=PA14 domain profile.	PS51820	345	0.657
YAL062W	31882	31921	Name=Glu / Leu / Phe / Val dehydrogenases active site.	PS00074	158	4.051
YAL061W	33664	33706	Name=Zinc-containing alcohol dehydrogenases signature.	PS00059	306	7.286
YAL060W	35371	35413	Name=Zinc-containing alcohol dehydrogenases signature.	PS00059	123	2.929
YAL058W	37818	37863	Name=Calreticulin family signature 1.	PS00803	37	0.822
YAL058W	37926	37950	Name=Calreticulin family signature 2.	PS00804	98	4.083
YAL054C	44038	44071	Name=Putative AMP-binding domain signature.	PS00455	66	2.0
YAL051W	48759	48843	Name=Zn(2)-C6 fungal-type DNA-binding domain signature.	PS00463	157	1.869
YAL051W	48759	48849	Name=Zn(2)-C6 fungal-type DNA-binding domain profile.	PS50048	157	1.744
YAL048C	52848	53457	Name=small GTPase Rab1 family profile.	PS51419	1013	1.663
YAL048C	52956	53451	Name=Miro domain profile.	PS51423	983	1.986
YAL048C	53694	53799	Name=EF-hand calcium-binding domain profile.	PS50222	177	1.686
YAL048C	54234	54780	Name=Miro domain profile.	PS51423	369	0.676
YAL047W-A	54587	54689	Name=Prokaryotic membrane lipoprotein lipid attachment site profile.	PS51257	155	1.52
YAL044C	58033	58279	Name=Biotinyl/lipoyl domain profile.	PS50968	554	2.252
YAL044C	58117	58204	Name=2-oxo acid dehydrogenases acyltransferase component lipoyl binding site.	PS00189	508	5.839
YAL041W	63245	63578	Name=Calponin homology (CH) domain profile.	PS50021	4	0.012
YAL041W	63674	64202	Name=Dbl homology (DH) domain profile.	PS50010	5	0.009
YAL041W	64049	64124	Name=Dbl homology (DH) domain signature.	PS00741	0	0
YAL041W	64274	64844	Name=PH domain profile.	PS50003	6	0.011
YAL041W	65123	65402	Name=PB1 domain profile.	PS51745	3	0.011
YAL040C	67103	67196	Name=Cyclins signature.	PS00292	2	0.022
YAL040C	67415	67517	Name=Prokaryotic membrane lipoprotein lipid attachment site profile.	PS51257	3	0.029
YAL039C	68940	68958	Name=Cytochrome c and c1 heme lyases signature 2.	PS00822	49	2.722
YAL039C	69096	69141	Name=Cytochrome c and c1 heme lyases signature 1.	PS00821	465	10.333
YAL038W	72491	72527	Name=Pyruvate kinase active site signature.	PS00110	0	0
YAL036C	75048	75276	Name=TGS domain profile.	PS51880	270	1.184
YAL036C	75276	75954	Name=OBG-type guanine nucleotide-binding (G) domain profile.	PS51710	1262	1.861
YAL036C	75759	75798	Name=GTP1/OBG family signature.	PS00905	303	7.769
YAL035W	77636	78290	Name=Translational (tr)-type guanine nucleotide-binding (G) domain profile.	PS51722	4	0.006
YAL034C	80712	81003	Name=SWIRM domain profile.	PS50934	567	1.948
YAL030W	87370	87550	Name=v-SNARE coiled-coil homology domain profile.	PS50892	440	2.444
YAL030W	87424	87481	Name=Synaptobrevin signature.	PS00417	128	2.246
YAL029C	88013	88778	Name=Dilute domain profile.	PS51126	470	0.614
YAL029C	89486	89573	Name=IQ motif profile.	PS50096	21	0.241
YAL029C	89561	89642	Name=IQ motif profile.	PS50096	1	0.012
YAL029C	89939	92057	Name=Myosin motor domain profile.	PS51456	1453	0.686
YAL029C	92099	92258	Name=Myosin N-terminal SH3-like domain profile.	PS51844	335	2.107
YAL026C	97999	98017	Name=E1-E2 ATPases phosphorylation site.	PS00154	0	0
YAL024C	101570	102290	Name=Ras guanine-nucleotide exchange factors catalytic domain profile.	PS50009	7	0.01
YAL024C	101714	101804	Name=Ras Guanine-nucleotide exchange factors domain signature.	PS00720	4	0.044
YAL024C	105401	105797	Name=Ras guanine-nucleotide exchange factors N-terminal domain profile.	PS50212	6	0.015
YAL023C	106964	107138	Name=MIR domain profile.	PS50919	26	0.149
