Gene	start	end	description	database_name
YPL281C	9703	9754	Name=Enolase signature	PR00148
YPL281C	9799	9841	Name=Enolase signature	PR00148
YPL281C	9877	9910	Name=Enolase signature	PR00148
YPL281C	10333	10372	Name=Enolase signature	PR00148
YPL281C	10501	10549	Name=Enolase signature	PR00148
YPL281C	10723	10765	Name=Enolase signature	PR00148
YDL245C	11977	12013	Name=Sugar transporter signature	PR00171
YDL245C	12019	12082	Name=Sugar transporter signature	PR00171
YDL245C	12337	12367	Name=Sugar transporter signature	PR00171
YDL245C	12802	12859	Name=Sugar transporter signature	PR00171
YDL245C	13117	13147	Name=Sugar transporter signature	PR00171
Q0045	13830	13905	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0055	13830	13905	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0060	13830	13905	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	13830	13905	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	13830	13905	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	13977	14046	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0055	13977	14046	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0060	13977	14046	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	13977	14046	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	13977	14046	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14061	14133	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	14061	14133	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14061	14133	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14187	14223	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	14187	14223	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14187	14223	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14283	14337	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	14283	14337	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14283	14337	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14370	14427	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	14370	14427	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14370	14427	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0065	14457	14520	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14523	14586	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14523	14586	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14661	14706	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14661	14706	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14733	14796	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0070	14733	14796	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14838	14892	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	14922	14979	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
Q0045	15072	15135	Name=Cytochrome c oxidase subunit I signature; Cytochrome c oxidase subunit I	PR01165
YNL330C	18480	18510	Name=Histone deacetylase superfamily signature	PR01270
YNL330C	18522	18576	Name=Histone deacetylase signature	PR01271
YNL330C	18588	18627	Name=Histone deacetylase signature	PR01271
YNL330C	18720	18765	Name=Histone deacetylase superfamily signature	PR01270
YNL330C	18756	18804	Name=Histone deacetylase signature	PR01271
YNL330C	18792	18861	Name=Histone deacetylase superfamily signature	PR01270
YNL330C	18867	18927	Name=Histone deacetylase signature	PR01271
YNL330C	18939	18990	Name=Histone deacetylase signature	PR01271
YNL330C	19029	19083	Name=Histone deacetylase signature	PR01271
YNL330C	19131	19182	Name=Histone deacetylase signature	PR01271
YEL070W	19703	19733	Name=Mannitol dehydrogenase signature	PR00084
YJL219W	19713	19743	Name=Sugar transporter signature	PR00171
YJL219W	19998	20055	Name=Sugar transporter signature	PR00171
YEL070W	20162	20201	Name=Mannitol dehydrogenase signature	PR00084
YEL070W	20282	20321	Name=Mannitol dehydrogenase signature	PR00084
YEL070W	20372	20417	Name=Mannitol dehydrogenase signature	PR00084
YJL219W	20490	20520	Name=Sugar transporter signature	PR00171
YJL219W	20781	20844	Name=Sugar transporter signature	PR00171
YJL219W	20850	20886	Name=Sugar transporter signature	PR00171
YML125C	20853	20877	Name=Cytochrome B5 reductase signature	PR00406
YML125C	21009	21042	Name=Cytochrome B5 reductase signature	PR00406
YFL054C	21023	21083	Name=Major intrinsic protein family signature	PR00783
YML125C	21099	21156	Name=Cytochrome B5 reductase signature	PR00406
YFL054C	21164	21230	Name=Major intrinsic protein family signature	PR00783
YML125C	21183	21225	Name=Cytochrome B5 reductase signature	PR00406
YFL054C	21275	21329	Name=Major intrinsic protein family signature	PR00783
YML125C	21312	21333	Name=Cytochrome B5 reductase signature	PR00406
YML125C	21363	21396	Name=Cytochrome B5 reductase signature	PR00406
YFL054C	21455	21512	Name=Major intrinsic protein family signature	PR00783
YFL054C	21551	21623	Name=Major intrinsic protein family signature	PR00783
YFL054C	21686	21743	Name=Major intrinsic protein family signature	PR00783
YEL069C	21857	21893	Name=Sugar transporter signature	PR00171
YEL069C	21899	21962	Name=Sugar transporter signature	PR00171
YEL069C	22217	22247	Name=Sugar transporter signature	PR00171
YML124C	22366	22414	Name=Alpha-tubulin signature	PR01162
YML124C	22456	22540	Name=Tubulin signature	PR01161
YML124C	22477	22525	Name=Alpha-tubulin signature	PR01162
YML124C	22543	22600	Name=Alpha-tubulin signature	PR01162
YML124C	22600	22639	Name=Alpha-tubulin signature	PR01162
YML124C	22654	22717	Name=Alpha-tubulin signature	PR01162
YEL069C	22682	22739	Name=Sugar transporter signature	PR00171
YML124C	22813	22858	Name=Alpha-tubulin signature	PR01162
YEL069C	22997	23027	Name=Sugar transporter signature	PR00171
YML124C	23002	23038	Name=Alpha-tubulin signature	PR01162
YML124C	23044	23104	Name=Tubulin signature	PR01161
YML124C	23107	23146	Name=Tubulin signature	PR01161
YML124C	23158	23221	Name=Tubulin signature	PR01161
YML124C	23164	23197	Name=Alpha-tubulin signature	PR01162
YML124C	23200	23236	Name=Alpha-tubulin signature	PR01162
YML124C	23224	23278	Name=Tubulin signature	PR01161
YML124C	23284	23356	Name=Tubulin signature	PR01161
YML124C	23296	23320	Name=Alpha-tubulin signature	PR01162
YML124C	23362	23395	Name=Tubulin signature	PR01161
YML124C	23377	23416	Name=Alpha-tubulin signature	PR01162
YML124C	23464	23521	Name=Tubulin signature	PR01161
YML124C	23506	23545	Name=Alpha-tubulin signature	PR01162
YML124C	23584	23629	Name=Alpha-tubulin signature	PR01162
YML124C	23593	23653	Name=Tubulin signature	PR01161
YGL253W	24184	24232	Name=Hexokinase family signature	PR00475
YGL253W	24394	24469	Name=Hexokinase family signature	PR00475
YGL253W	24550	24598	Name=Hexokinase family signature	PR00475
YGL253W	24619	24661	Name=Hexokinase family signature	PR00475
YGL253W	24832	24898	Name=Hexokinase family signature	PR00475
YGL253W	25078	25144	Name=Hexokinase family signature	PR00475
YGL253W	25297	25345	Name=Hexokinase family signature	PR00475
YOL156W	25489	25519	Name=Sugar transporter signature	PR00171
YOL156W	25774	25831	Name=Sugar transporter signature	PR00171
YOL156W	26266	26296	Name=Sugar transporter signature	PR00171
YOL156W	26557	26620	Name=Sugar transporter signature	PR00171
YOL156W	26626	26662	Name=Sugar transporter signature	PR00171
YJL214W	27118	27148	Name=Sugar transporter signature	PR00171
YJL214W	27406	27463	Name=Sugar transporter signature	PR00171
YJL214W	27898	27928	Name=Sugar transporter signature	PR00171
YJL214W	28183	28246	Name=Sugar transporter signature	PR00171
YJL214W	28252	28288	Name=Sugar transporter signature	PR00171
YFL052W	28253	28271	Name=Fungal Zn-Cys binuclear cluster signature	PR00054
YFL052W	28274	28292	Name=Fungal Zn-Cys binuclear cluster signature	PR00054
YFL052W	28298	28328	Name=Fungal Zn-Cys binuclear cluster signature	PR00054
YFL052W	28334	28367	Name=Fungal Zn-Cys binuclear cluster signature	PR00054
YML120C	28652	28718	Name=FAD-dependent pyridine nucleotide reductase signature	PR00368
Q0085	28781	28829	Name=ATP synthase A subunit signature; ATP synthase, F0 complex, subunit A	PR00123
Q0085	28964	29009	Name=ATP synthase A subunit signature; ATP synthase, F0 complex, subunit A	PR00123
Q0085	29024	29090	Name=ATP synthase A subunit signature; ATP synthase, F0 complex, subunit A	PR00123
YML120C	29063	29117	Name=FAD-dependent pyridine nucleotide reductase signature	PR00368
Q0085	29204	29249	Name=ATP synthase A subunit signature; ATP synthase, F0 complex, subunit A	PR00123
YML120C	29246	29300	Name=FAD-dependent pyridine nucleotide reductase signature	PR00368
YML120C	29582	29639	Name=FAD-dependent pyridine nucleotide reductase signature	PR00368
YAL062W	31858	31900	Name=Glutamate/leucine/phenylalanine/valine dehydrogenase signature	PR00082
YAL062W	32095	32161	Name=Glutamate/leucine/phenylalanine/valine dehydrogenase signature	PR00082
YAL062W	32230	32290	Name=Glutamate/leucine/phenylalanine/valine dehydrogenase signature	PR00082
YAL062W	32689	32722	Name=Glutamate/leucine/phenylalanine/valine dehydrogenase signature	PR00082
