Gene	start	end	description	database_name
YML133C	2542	2782	Name=helicmild6	SM00490
YML133C	2962	3601	Name=ultradead3	SM00487
YML124C	22501	22936	Name=Tubulin_C_4	SM00865
YML124C	22942	23533	Name=Tubulin_4	SM00864
YML117W	36205	36409	Name=rrm1_1	SM00360
YML117W	36478	36742	Name=rrm1_1	SM00360
YML109W	54196	54352	Name=Zds_C_2	SM01327
YML104C	59619	59976	Name=PX_2	SM00312
YML104C	61494	62067	Name=PXA_3	SM00313
YML102W	68300	68423	Name=WD40_4	SM00320
YML102W	68474	68591	Name=WD40_4	SM00320
YML102W	68681	68813	Name=WD40_4	SM00320
YML102W	68822	68939	Name=WD40_4	SM00320
YML102W	69377	69497	Name=WD40_4	SM00320
YML101C	69743	69866	Name=cue_7	SM00546
YML099C	76863	76995	Name=gal4_2	SM00066
YML097C	78340	78466	Name=cue_7	SM00546
YML097C	78727	79075	Name=vps9_2	SM00167
YML092C	86658	86724	Name=Proteasome_A_N_2	SM00948
YML088W	92268	92388	Name=fbox_2	SM00256
YML088W	93786	93843	Name=uim	SM00726
YML088W	93876	93933	Name=uim	SM00726
YML088W	93984	94041	Name=uim	SM00726
YML088W	94188	94239	Name=uim	SM00726
YML085C	98218	98653	Name=Tubulin_C_4	SM00865
YML085C	98659	99250	Name=Tubulin_4	SM00864
YML081W	104960	105026	Name=c2h2final6	SM00355
YML081W	105044	105113	Name=c2h2final6	SM00355
YML077W	111874	112333	Name=Sybindin_2	SM01399
YML076C	114987	115137	Name=gal4_2	SM00066
YML072C	124834	125119	Name=C2_3c	SM00239
YML072C	125668	125962	Name=C2_3c	SM00239
YML072C	126679	126964	Name=C2_3c	SM00239
YML072C	127081	127375	Name=C2_3c	SM00239
YML072C	127582	127891	Name=C2_3c	SM00239
YML070W	134711	135221	Name=Dak2_2	SM01120
YML069W	136643	136925	Name=Rtt106_2	SM01287
YML068W	138090	138246	Name=ring_2	SM00184
YML068W	138366	138564	Name=ibrneu5	SM00647
YML068W	138441	138765	Name=ring_2	SM00184
YML068W	138693	138903	Name=ibrneu5	SM00647
YML065W	142354	142774	Name=BAH_4	SM00439
YML065W	143623	144094	Name=AAA_5	SM00382
YML064C	145312	145822	Name=ras_sub_4	SM00173
YML064C	145312	145813	Name=rab_sub_5	SM00175
YML064C	145312	145807	Name=rho_sub_3	SM00174
YML063W	146527	147145	Name=Ribosomal_S3Ae_2	SM01397
YML060W	152264	152789	Name=endo3end	SM00478
YML059C	155033	155429	Name=cnmp_10	SM00100
YML057W	160510	161455	Name=pp2a_7	SM00156
YML056C	162637	164068	Name=IMPDH_2	SM01240
YML056C	163468	163612	Name=cbs_1	SM00116
YML056C	163648	163801	Name=cbs_1	SM00116
YML054C	166813	167035	Name=Cyt_b5_2	SM01117
YML046W	181888	181993	Name=hat_new_1	SM00386
YML046W	181999	182098	Name=hat_new_1	SM00386
YML046W	182284	182380	Name=hat_new_1	SM00386
YML046W	182821	182914	Name=hat_new_1	SM00386
YML027W	221934	222120	Name=HOX_1	SM00389
YML021C	229844	230372	Name=UDG_2	SM00986
YML016C	239571	240381	Name=pp2a_7	SM00156
YML013W	245421	245859	Name=ubx_3	SM00166
YML012W	246176	246734	Name=EMP24_GP25L_2	SM01190
YML010W	248529	248802	Name=nusgn_4	SM00738
YML010W	248820	248901	Name=kow_9	SM00739
YML010W	249276	249357	Name=kow_9	SM00739
YML010W	249426	249507	Name=kow_9	SM00739
YML010W	250071	250152	Name=kow_9	SM00739
YML010W	250383	250776	Name=CTD_2	SM01104
YML007W	254034	254226	Name=brlzneu	SM00338
YML001W	267192	267711	Name=ras_sub_4	SM00173
YML001W	267201	267711	Name=rab_sub_5	SM00175
YML001W	267207	267711	Name=rho_sub_3	SM00174
YML001W	267216	267792	Name=ran_sub_2	SM00176
YMR001C	270125	270890	Name=serkin_6	SM00220
YMR003W	273325	273427	Name=sap_9	SM00513
YMR004W	274392	274746	Name=PX_2	SM00312
YMR006C	277935	279630	Name=pla2_6	SM00022
YMR008C	280844	282536	Name=pla2_6	SM00022
YMR016C	304036	304291	Name=KilA_N_2	SM01252
YMR017W	308464	308665	Name=tSNARE_6	SM00397
YMR018W	310967	311066	Name=tpr_5	SM00028
YMR018W	311288	311387	Name=tpr_5	SM00028
YMR018W	311390	311489	Name=tpr_5	SM00028
YMR018W	311492	311591	Name=tpr_5	SM00028
YMR019W	312399	312528	Name=gal4_2	SM00066
YMR019W	313761	313980	Name=Fungal_trans_2	SM00906
YMR021C	318298	318415	Name=copper1	SM00412
YMR022W	318701	319172	Name=ubc_7	SM00212
YMR024W	322217	322766	Name=riboneu5	SM00535
YMR024W	322784	322988	Name=DRBM_3	SM00358
YMR032W	335319	335589	Name=fch_2	SM00055
YMR032W	337104	337296	Name=SH3_2	SM00326
YMR033W	337809	339108	Name=actin_3	SM00268
YMR036C	342410	342767	Name=rhod_4	SM00450
YMR037C	344423	344489	Name=c2h2final6	SM00355
YMR037C	344507	344576	Name=c2h2final6	SM00355
YMR042W	352837	353014	Name=madsneu2	SM00432
YMR043W	353919	354096	Name=madsneu2	SM00432
YMR044W	355402	355738	Name=PWWP_4	SM00293
YMR049C	368099	368228	Name=WD40_4	SM00320
YMR049C	368264	368381	Name=WD40_4	SM00320
YMR049C	368393	368510	Name=WD40_4	SM00320
YMR049C	368519	368633	Name=WD40_4	SM00320
YMR049C	369122	369239	Name=WD40_4	SM00320
YMR049C	369239	370022	Name=BOP1NT_2	SM01035
YMR055C	386238	386919	Name=tbc_4	SM00164
YMR061W	392923	393019	Name=hat_new_1	SM00386
YMR061W	393025	393127	Name=hat_new_1	SM00386
YMR061W	393157	393265	Name=hat_new_1	SM00386
YMR061W	393298	393397	Name=hat_new_1	SM00386
YMR061W	393508	393622	Name=hat_new_1	SM00386
YMR061W	393649	393745	Name=hat_new_1	SM00386
YMR061W	394144	394240	Name=hat_new_1	SM00386
YMR061W	394246	394351	Name=hat_new_1	SM00386
YMR067C	404520	404766	Name=ubx_3	SM00166
YMR068W	406421	406508	Name=ANK_2a	SM00248
YMR068W	406526	406616	Name=ANK_2a	SM00248
YMR068W	406628	406721	Name=ANK_2a	SM00248
YMR068W	406727	406817	Name=ANK_2a	SM00248
YMR070W	410192	410258	Name=c2h2final6	SM00355
YMR070W	410276	410345	Name=c2h2final6	SM00355
YMR071C	410842	411175	Name=Cg6151_P_2	SM01077
YMR072W	411695	411905	Name=hmgende2	SM00398
YMR072W	411914	412118	Name=hmgende2	SM00398
YMR073C	412273	412498	Name=Cyt_b5_2	SM01117
YMR075W	414768	414903	Name=PHD_3	SM00249
YMR075W	415230	415392	Name=PHD_3	SM00249
YMR078C	423765	424203	Name=AAA_5	SM00382
YMR079W	425151	425226	Name=CRAL_TRIO_N_2	SM01100
YMR079W	425286	425796	Name=sec14_4	SM00516
YMR080C	427749	428361	Name=AAA_5	SM00382
YMR083W	434920	435901	Name=PKS_ER_names_mod	SM00829
YMR087W	442701	443154	Name=YBR022w_8	SM00506
YMR089C	446526	446946	Name=AAA_5	SM00382
YMR092C	451646	451760	Name=WD40_4	SM00320
YMR092C	451772	451925	Name=WD40_4	SM00320
YMR092C	451931	452039	Name=WD40_4	SM00320
YMR092C	452390	452495	Name=WD40_4	SM00320
YMR092C	452504	452630	Name=WD40_4	SM00320
YMR092C	452639	452765	Name=WD40_4	SM00320
YMR092C	452774	452903	Name=WD40_4	SM00320
YMR092C	452912	453032	Name=WD40_4	SM00320
YMR092C	453035	453164	Name=WD40_4	SM00320
YMR092C	453197	453323	Name=WD40_4	SM00320
YMR093W	454111	454216	Name=WD40_4	SM00320
YMR093W	454225	454342	Name=WD40_4	SM00320
YMR093W	454354	454474	Name=WD40_4	SM00320
YMR093W	454486	454606	Name=WD40_4	SM00320
YMR093W	454621	454729	Name=WD40_4	SM00320
YMR093W	454738	454870	Name=WD40_4	SM00320
YMR102C	470522	470639	Name=WD40_4	SM00320
YMR102C	470981	471107	Name=WD40_4	SM00320
YMR102C	471185	471302	Name=WD40_4	SM00320
YMR102C	471311	471428	Name=WD40_4	SM00320
YMR102C	471437	471551	Name=WD40_4	SM00320
YMR102C	471749	471869	Name=WD40_4	SM00320
YMR104C	473467	473653	Name=pkinase_C_6	SM00133
YMR104C	473656	474421	Name=serkin_6	SM00220
YMR106C	478831	479275	Name=ku_4	SM00559
YMR109W	486677	488735	Name=MYSc_2a	SM00242
YMR109W	489851	490025	Name=SH3_2	SM00326
YMR116C	499746	499863	Name=WD40_4	SM00320
YMR116C	499896	500007	Name=WD40_4	SM00320
YMR116C	500016	500133	Name=WD40_4	SM00320
YMR116C	500142	500277	Name=WD40_4	SM00320
YMR116C	500283	500400	Name=WD40_4	SM00320
YMR116C	500409	500526	Name=WD40_4	SM00320
YMR116C	500550	500670	Name=WD40_4	SM00320
YMR120C	507897	508872	Name=aicarft_impchas	SM00798
YMR120C	508887	509229	Name=MGS_2a	SM00851
YMR121C	509772	510342	Name=Ribosomal_L15e_2	SM01384
YMR125W	517647	518331	Name=if4_15	SM00543
YMR128W	524863	525475	Name=ultradead3	SM00487
YMR128W	525847	526147	Name=helicmild6	SM00490
YMR128W	526330	526717	Name=ha2_5	SM00847
YMR131C	533177	533288	Name=WD40_4	SM00320
YMR131C	533360	533480	Name=WD40_4	SM00320
YMR131C	533513	533633	Name=WD40_4	SM00320
YMR131C	533648	533765	Name=WD40_4	SM00320
YMR131C	533789	533915	Name=WD40_4	SM00320
YMR135C	539066	539393	Name=toby_final6	SM00757
YMR135C	539417	539666	Name=ctlh	SM00668
YMR136W	542597	542768	Name=GATA_3	SM00401
YMR138W	545158	545716	Name=arf_sub_2	SM00177
YMR138W	545164	545716	Name=sar_sub_1	SM00178
YMR139W	546242	547091	Name=serkin_6	SM00220
YMR146C	557561	557678	Name=WD40_4	SM00320
YMR146C	557852	557969	Name=WD40_4	SM00320
YMR146C	557981	558104	Name=WD40_4	SM00320
YMR146C	558146	558275	Name=WD40_4	SM00320
YMR146C	558284	558401	Name=WD40_4	SM00320
YMR146C	558410	558521	Name=WD40_4	SM00320
YMR154C	567210	567981	Name=cys_prot_2	SM00230
YMR161W	577778	577949	Name=dnaj_3	SM00271
YMR164C	589301	589397	Name=Lish	SM00667
YMR165C	590948	591446	Name=lns2	SM00775
YMR167W	595525	595891	Name=DNA_mis_repair_2	SM01340
YMR168C	598999	599134	Name=gal4_2	SM00066
YMR171C	604398	604815	Name=SPRY_3	SM00449
YMR176W	612286	612565	Name=ARID_2	SM01014
YMR176W	612298	612580	Name=bright_3	SM00501
YMR176W	613168	613825	Name=cupin_9	SM00558
YMR176W	615460	615604	Name=PHD_3	SM00249
YMR178W	618500	619007	Name=MoCF_biosynth_3a	SM00852
YMR182C	624948	625017	Name=c2h2final6	SM00355
YMR182C	625035	625110	Name=c2h2final6	SM00355
YMR183C	627040	627241	Name=tSNARE_6	SM00397
YMR183C	627373	627712	Name=SynN_4	SM00503
YMR186W	632433	632847	Name=HKATPase_4	SM00387
YMR190C	641205	641442	Name=hrdc7	SM00341
YMR190C	641676	642006	Name=RQC_2	SM00956
YMR190C	642273	642516	Name=helicmild6	SM00490
YMR190C	642618	643233	Name=ultradead3	SM00487
YMR192W	648000	648618	Name=tbc_4	SM00164
YMR197C	658640	658841	Name=tSNARE_6	SM00397
YMR199W	662875	663202	Name=cyclin_7	SM00385
YMR207C	682121	682442	Name=Biotin_carb_C_2	SM00878
YMR209C	685913	686708	Name=N2227_2	SM01296
YMR213W	693408	693555	Name=sant	SM00717
YMR213W	693564	693705	Name=sant	SM00717
YMR214W	695416	695590	Name=dnaj_3	SM00271
YMR216C	698921	700565	Name=serkin_6	SM00220
YMR223W	716850	716997	Name=Zf_UBP_1	SM00290
YMR224C	719231	719780	Name=Mre11_DNA_bind_2	SM01347
YMR227C	723470	724049	Name=TAFII55_N_2	SM01370
YMR229C	726020	726125	Name=hat_new_1	SM00386
YMR229C	726131	726227	Name=hat_new_1	SM00386
YMR229C	726233	726335	Name=hat_new_1	SM00386
YMR229C	726341	726440	Name=hat_new_1	SM00386
YMR229C	726545	726656	Name=hat_new_1	SM00386
YMR229C	726662	726755	Name=hat_new_1	SM00386
YMR229C	727115	727334	Name=S1_6	SM00316
YMR229C	727388	727598	Name=S1_6	SM00316
YMR229C	727646	727865	Name=S1_6	SM00316
YMR229C	727898	728120	Name=S1_6	SM00316
YMR229C	728210	728444	Name=S1_6	SM00316
YMR229C	728534	728747	Name=S1_6	SM00316
YMR229C	728816	729041	Name=S1_6	SM00316
YMR229C	729095	729308	Name=S1_6	SM00316
YMR229C	729383	729599	Name=S1_6	SM00316
YMR229C	729893	730115	Name=S1_6	SM00316
YMR229C	730169	730361	Name=S1_6	SM00316
YMR229C	730400	730772	Name=S1_6	SM00316
YMR231W	736326	736464	Name=PHD_3	SM00249
YMR231W	736329	736461	Name=ring_2	SM00184
YMR232W	737274	737907	Name=RhoGEF_3	SM00325
YMR233W	739545	739779	Name=swib_2	SM00151
YMR235C	741877	741958	Name=LRR_RI_2	SM00368
YMR235C	741964	742045	Name=LRR_RI_2	SM00368
