Gene	start	end	description	database_name
YIL177C	3105	4137	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540
YIL173W	11615	12659	Name=Sialidases	SSF50939
YIL173W	12659	13190	Name=Sialidases	SSF50939
YIL173W	13649	15155	Name=Oligoxyloglucan reducing end-specific cellobiohydrolase	SSF110296
YIL172C	16792	17011	Name=Glycosyl hydrolase domain	SSF51011
YIL172C	17032	18520	Name=(Trans)glycosidases	SSF51445
YIL166C	31024	32365	Name=MFS general substrate transporter	SSF103473
YIL165C	33750	34071	Name=Carbon-nitrogen hydrolase	SSF56317
YIL164C	34101	34680	Name=Carbon-nitrogen hydrolase	SSF56317
YIL162W	37466	38393	Name=Arabinanase/levansucrase/invertase	SSF75005
YIL162W	38513	38921	Name=Concanavalin A-like lectins/glucanases	SSF49899
YIL160C	40202	40559	Name=Thiolase-like	SSF53901
YIL160C	40568	41351	Name=Thiolase-like	SSF53901
YIL159W	42131	43262	Name=ARM repeat	SSF48371
YIL159W	44282	45677	Name=Formin homology 2 domain (FH2 domain)	SSF101447
YIL156W	48997	49426	Name=Rhodanese/Cell cycle control phosphatase	SSF52821
YIL156W	49915	51298	Name=Cysteine proteinases	SSF54001
YIL155C	52445	52727	Name=FAD-linked reductases, C-terminal domain	SSF54373
YIL155C	52814	53543	Name=FAD/NAD(P)-binding domain	SSF51905
YIL153W	55210	56143	Name=PTPA-like	SSF140984
YIL151C	58288	60076	Name=TPR-like	SSF48452
YIL150C	61813	62125	Name=Nucleic acid-binding proteins	SSF50249
YIL148W	68711	68987	Name=Ubiquitin-like	SSF54236
YIL147C	69814	70192	Name=CheY-like	SSF52172
YIL147C	70648	70900	Name=ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	SSF55874
YIL147C	71308	71590	Name=ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	SSF55874
YIL147C	71572	71794	Name=Homodimeric domain of signal transducing histidine kinase	SSF47384
YIL145C	76356	77280	Name=Nucleotidylyl transferase	SSF52374
YIL143C	80749	81619	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540
YIL143C	81430	82099	Name=P-loop containing nucleoside triphosphate hydrolases	SSF52540
YIL142W	83341	84856	Name=GroEL equatorial domain-like	SSF48592
YIL142W	83746	84490	Name=GroEL-intermediate domain like	SSF54849
YIL142W	83917	84415	Name=GroEL apical domain-like	SSF52029
